id,id_family_code,id_family_label,id_sequence,id_plain_english,id_runtime_note,name,control_stage,category,status,default_duration_min,energy_cost,best_stage,artifact_type,outputs_summary,when_to_use,when_not_to_use,required_outputs,tags,primary_citations,source_file
M-CAL-001,CAL,Calibrate,001,Method / Calibrate / item 001,,Micro Precheck,CALIBRATE,calibrate,validated,4,medium,first_exposure,notes,,Immediately after PRIME exits and before TEACH. | When readiness is unknown or likely drifted.,Never before PRIME for first exposure. | Skip only when emergency time constraints force direct review mode.,"CalibrateItemResults (per-item correctness, latency, confidence) | ReadinessSnapshot (accuracy summary) | CalibrationGapSummary (predicted vs actual gap) | DominantErrorSeed (highest-frequency error class) | MicroCalibrateSnapshot (opening readiness signal for TEACH routing)",calibrate | diagnostic | baseline | confidence,Kornell et al. (2009) | Roediger and Karpicke (2006),sop/library/methods/M-CAL-001.yaml
M-CAL-002,CAL,Calibrate,002,Method / Calibrate / item 002,,Full Calibrate Probes,CALIBRATE,calibrate,validated,6,medium,first_exposure,notes,,After TEACH close artifact is produced. | Before ENCODE method selection and retrieval scheduling.,Never as a replacement for opening MICRO-CALIBRATE. | Skip only when a validated full-calibrate result already exists for the same objective scope.,"FullCalibrateItemResults (per-item correctness, latency, confidence) | ConfidenceTaggedResults (per-item confidence + correctness) | HighConfidenceMisses (overconfidence items) | LowConfidenceHits (underconfidence items) | CalibrationRiskFlags (routing signals for downstream methods) | FullCalibrateSnapshot (post-TEACH diagnostic summary)",calibrate | confidence | metacognition | risk-detection | full-calibrate,Metcalfe (2017) | Dunlosky et al. (2013),sop/library/methods/M-CAL-002.yaml
M-CAL-003,CAL,Calibrate,003,Method / Calibrate / item 003,,Full Calibrate Priority Set,CALIBRATE,calibrate,validated,3,low,first_exposure,notes,,After M-CAL-002 completes. | Before selecting ENCODE methods.,If fewer than 3 valid items exist; run micro-recalibration first.,FullCalibratePrioritySet (exactly 3 ranked weaknesses) | WeaknessScoreTable (scoring breakdown per weakness) | EncodeRoutingSeed (one ENCODE method-family recommendation per weakness) | FullCalibrateHandoff (diagnostic-to-encode handoff contract),calibrate | prioritization | sequencing | deterministic-routing | full-calibrate,Rawson and Dunlosky (2011) | Bjork and Bjork (2011),sop/library/methods/M-CAL-003.yaml
M-CAL-004,CAL,Calibrate,004,Method / Calibrate / item 004,,Story Confidence Tag,CALIBRATE,calibrate,core,2,low,first_exposure,notes,,After a narrative PRIME or TEACH story chunk | When learner prefers top-down big-picture processing | As an optional supplement before FULL CALIBRATE probes,As the only calibrate method in a first-exposure chain | After FULL CALIBRATE has already been completed for the same scope | When material has no narrative structure,Story confidence rating (1-3 scale) | Fuzzy zones list (narrative breakdown points) | Priority encoding targets (focus areas for ENCODE phase) | Optional probe seed suggestions for M-CAL-002,calibrate | confidence | narrative | top-down | metacognition,Metcalfe (2017) | Dunlosky et al. (2013),sop/library/methods/M-CAL-004.yaml
M-ENC-001,ENC,Encode,001,Method / Encode / item 001,,KWIK Hook,ENCODE,encode,validated,3,medium,first_exposure,notes,,,,KWIK hook (sound-function-image triplet) | Session log entry,mnemonic | kwik | hook | gated | sop-core | dual-coding,,sop/library/methods/M-ENC-001.yaml
M-ENC-002,ENC,Encode,002,Method / Encode / item 002,,Seed-Lock Generation,ENCODE,encode,validated,3,medium,first_exposure,notes,,,,Learner-generated Seed (primary hook attempt) | Final locked hook | Generation success flag (self vs AI-assisted),seed-lock | generation-first | active | sop-core,,sop/library/methods/M-ENC-002.yaml
M-ENC-003,ENC,Encode,003,Method / Encode / item 003,,Draw-Label,ENCODE,encode,validated,10,high,first_exposure,notes,,,,Completed labeled diagram | Gap list (what was missing) | Accuracy percentage,visual | anatomy | drawing | active | retrieval,,sop/library/methods/M-ENC-003.yaml
M-ENC-004,ENC,Encode,004,Method / Encode / item 004,,Teach-Back,ENCODE,encode,validated,5,high,review,notes,,,,Verbal explanation (recorded or noted) | Breakdown points list | Targeted review areas,verbal | feynman | deep-processing | sop-core,,sop/library/methods/M-ENC-004.yaml
M-ENC-005,ENC,Encode,005,Method / Encode / item 005,,Why-Chain,ENCODE,encode,validated,5,medium,first_exposure,notes,,,,Why-chain document (3-5 linked explanations) | Depth level reached | Verification status,elaboration | causal | depth | evidence-based,,sop/library/methods/M-ENC-005.yaml
M-ENC-007,ENC,Encode,007,Method / Encode / item 007,,Self-Explanation Protocol,ENCODE,encode,validated,7,medium,first_exposure,notes,,,,Self-explanation notes or think-aloud log (per paragraph) | Inference gap list | Confusion points flagged | Comprehension checkpoints,self-explanation | comprehension | causal-reasoning | metacognition | verbal | evidence-based,,sop/library/methods/M-ENC-007.yaml
