id,family_code,family_label,variant_code,variant_label,id_plain_english,name,status,is_template,block_count,allowed_modes,requires_reference_targets,energy,time_available,stage_sequence,block_ids,block_names,description,gates,failure_actions,certification_disposition,control_plane_valid,control_plane_violations,source_file
C-AD-001,AD,Anatomy Deep Dive,001,,Chain / Anatomy Deep Dive,Anatomy Deep Dive,draft,True,8,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,high,40,PRIME -> CALIBRATE -> PRIME -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-003 | M-PRE-006 | M-ENC-003 | M-REF-003 | M-REF-004 | M-RET-001 | M-OVR-002,Learning Objectives Primer | Prior Knowledge Scan | Structural Skimming + Pillar Mapping | Draw-Label | One-Page Anchor | Question Bank Seed | Timed Brain Dump | Anki Card Draft,"Anatomy-focused chain with a short PRIME orientation, a calibrate check, and drawing-led encoding before retrieval and overlearn.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-AD-001.yaml
C-CI-001,CI,Clinical Reasoning Intake,001,,Chain / Clinical Reasoning Intake,Clinical Reasoning Intake,draft,True,8,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,high,45,PRIME -> CALIBRATE -> ENCODE -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-007 | M-INT-006 | M-INT-004 | M-REF-003 | M-REF-004 | M-RET-001 | M-OVR-002,Learning Objectives Primer | Pre-Test | Illness Script Builder | Side-by-Side Comparison | One-Page Anchor | Question Bank Seed | Timed Brain Dump | Anki Card Draft,"Clinical first exposure with a short PRIME orientation before pre-test, illness scripts, comparison, retrieval, and overlearn.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-CI-001.yaml
C-CR-001,CR,Clinical Reasoning,001,,Chain / Clinical Reasoning,Clinical Reasoning,draft,True,7,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,False,high,45,PRIME -> CALIBRATE -> PRIME -> ENCODE -> ENCODE -> REFERENCE -> OVERLEARN,M-PRE-010 | M-PRE-003 | M-PRE-006 | M-INT-005 | M-INT-004 | M-REF-001 | M-OVR-002,Learning Objectives Primer | Prior Knowledge Scan | Structural Skimming + Pillar Mapping | Case Walkthrough | Side-by-Side Comparison | Error Autopsy | Anki Card Draft,"Build clinical reasoning chains with a short PRIME orientation, a calibrate scan, and contrast-heavy encoding before wrap.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-CR-001.yaml
C-DA-001,DA,Dense Anatomy Intake,001,,Chain / Dense Anatomy Intake,Dense Anatomy Intake,draft,True,8,spatial,True,high,40,PRIME -> CALIBRATE -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> ENCODE -> OVERLEARN,M-PRE-010 | M-PRE-007 | M-ENC-003 | M-REF-003 | M-REF-004 | M-RET-001 | M-ENC-001 | M-OVR-002,Learning Objectives Primer | Pre-Test | Draw-Label | One-Page Anchor | Question Bank Seed | Timed Brain Dump | KWIK Hook | Anki Card Draft,"High-detail anatomy first exposure with a short PRIME orientation before pre-test, Draw-Label for spatial memory, retrieval, and later generative steps.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-DA-001.yaml
C-DP-001,DP,DEPTH,001,,Chain / DEPTH,DEPTH,draft,True,10,mechanism | computation | procedure,True,high,45,PRIME -> CALIBRATE -> ENCODE -> ENCODE -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> REFERENCE -> OVERLEARN,M-PRE-010 | M-PRE-007 | M-ENC-005 | M-ENC-007 | M-INT-002 | M-REF-003 | M-REF-004 | M-RET-005 | M-REF-001 | M-OVR-002,Learning Objectives Primer | Pre-Test | Why-Chain | Self-Explanation Protocol | Clinical Application | One-Page Anchor | Question Bank Seed | Variable Retrieval | Error Autopsy | Anki Card Draft,"Pass 2: Selective mastery on high-priority objectives with a quick PRIME orientation, pre-test calibration, then depth encode/application work. Retrieval-driven. Cards only from errors.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-DP-001.yaml
C-EP-001,EP,Exam Prep,001,,Chain / Exam Prep,Exam Prep,draft,True,7,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,high,35,PRIME -> REFERENCE -> REFERENCE -> RETRIEVE -> ENCODE -> REFERENCE -> OVERLEARN,M-PRE-002 | M-REF-003 | M-REF-004 | M-RET-004 | M-INT-004 | M-REF-001 | M-OVR-002,Overarching Pre-Question Set | One-Page Anchor | Question Bank Seed | Mixed Practice | Side-by-Side Comparison | Error Autopsy | Anki Card Draft,Exam-focused chain with interleaving and error analysis. Prepare → Retrieve → Interrogate → Refine → Overlearn.,prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-EP-001.yaml
C-FE-001,FE,First Exposure,001,Core,Chain / First Exposure / Core,First Exposure (Core),draft,True,15,classification | definition | recognition,True,high,55,PRIME -> PRIME -> PRIME -> CALIBRATE -> TEACH -> REFERENCE -> CALIBRATE -> CALIBRATE -> ENCODE -> REFERENCE -> RETRIEVE -> RETRIEVE -> RETRIEVE -> OVERLEARN -> OVERLEARN,M-PRE-010 | M-PRE-008 | M-PRE-009 | M-CAL-001 | M-INT-001 | M-REF-003 | M-CAL-002 | M-CAL-003 | M-ENC-001 | M-REF-004 | M-RET-001 | M-RET-006 | M-RET-007 | M-OVR-002 | M-OVR-003,Learning Objectives Primer | Structural Extraction | Syntopical Big-Picture Synthesis | Micro Precheck | Analogy Bridge | One-Page Anchor | Full Calibrate Probes | Full Calibrate Priority Set | KWIK Hook | Question Bank Seed | Timed Brain Dump | Adversarial Drill | Timed Sprint Sets | Anki Card Draft | Drill Sheet Builder,"Control-plane first exposure flow with explicit MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE opening, followed by ENCODE, REFERENCE, RETRIEVE, and OVERLEARN.",prime_artifacts_present | micro_calibrate_before_teach | teach_chunk_delivered_when_present | teach_close_artifact_ready | full_calibrate_after_teach | mnemonic_after_teach_close_artifact_only | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-FE-001.yaml
C-FE-MIN,FE,First Exposure,MIN,Minimal,Chain / First Exposure / Minimal,First Exposure: Minimal,draft,True,9,definition | recognition,True,low,20,PRIME -> PRIME -> CALIBRATE -> TEACH -> REFERENCE -> CALIBRATE -> CALIBRATE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-008 | M-CAL-001 | M-TEA-004 | M-REF-003 | M-CAL-002 | M-CAL-003 | M-RET-001 | M-OVR-001,Learning Objectives Primer | Structural Extraction | Micro Precheck | Modality Switch | One-Page Anchor | Full Calibrate Probes | Full Calibrate Priority Set | Timed Brain Dump | Exit Ticket,"Minimal first-exposure chain for low-energy sessions targeting definition and recognition modes. Uses compact opening sequence MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE, then light retrieval and wrap-up.",micro_calibrate_before_teach | teach_close_artifact_ready | full_calibrate_after_teach | rsr_accuracy_ge_0.80,inject_reference_targets_before_retrieve | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-FE-MIN.yaml
C-FE-PRO,FE,First Exposure,PRO,Procedure,Chain / First Exposure / Procedure,First Exposure: Procedure,draft,True,10,procedure,True,high,,PRIME -> PRIME -> CALIBRATE -> TEACH -> ENCODE -> CALIBRATE -> CALIBRATE -> REFERENCE -> ENCODE -> RETRIEVE,M-PRE-010 | M-PRE-008 | M-CAL-001 | M-TEA-001 | M-ENC-011 | M-CAL-002 | M-CAL-003 | M-REF-003 | M-INT-005 | M-RET-007,Learning Objectives Primer | Structural Extraction | Micro Precheck | Story Spine | Process Flowchart | Full Calibrate Probes | Full Calibrate Priority Set | One-Page Anchor | Case Walkthrough | Timed Sprint Sets,"Procedure-focused first-exposure chain for high-energy sessions. Uses explicit opening sequence MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE, then process encoding, anchor generation, case walkthrough with fault injection, and timed sprint retrieval.",micro_calibrate_before_teach | teach_chunk_delivered_when_present | teach_close_artifact_ready | full_calibrate_after_teach | cascade_misses_eq_0,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-FE-PRO.yaml
C-FE-STD,FE,First Exposure,STD,Standard,Chain / First Exposure / Standard,Trey's Favorite: Start Here,draft,True,11,classification | mechanism,True,medium,35,PRIME -> PRIME -> CALIBRATE -> TEACH -> REFERENCE -> CALIBRATE -> CALIBRATE -> ENCODE -> ENCODE -> REFERENCE -> RETRIEVE,M-PRE-010 | M-PRE-008 | M-CAL-001 | M-ENC-008 | M-REF-003 | M-CAL-002 | M-CAL-003 | M-ENC-010 | M-ENC-001 | M-REF-004 | M-RET-007,Learning Objectives Primer | Structural Extraction | Micro Precheck | Mechanism Trace | One-Page Anchor | Full Calibrate Probes | Full Calibrate Priority Set | Comparison Table | KWIK Hook | Question Bank Seed | Timed Sprint Sets,"Default start-here chain for Trey. Standard first-exposure flow for medium-energy sessions targeting classification and mechanism modes. Opening is explicit MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE, then ENCODE, reference generation, and timed retrieval sprint.",micro_calibrate_before_teach | teach_chunk_delivered_when_present | teach_close_artifact_ready | full_calibrate_after_teach | mnemonic_after_teach_close_artifact_only | tie_breakers_complete | rsr_accuracy_ge_0.85,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-FE-STD.yaml
